the_geom,name,distance_to_punggol,distance_to_yishun_east,distance_to_yishun_west
0101000020E6100000CCCF0D4DD9F55940CC9717601F5DF43F,Customs Port Br HQ,17607.48579594,17028.1989242,17474.5278074
0101000020E610000095BBCFF1D1F5594035423F53AF5BF43F,Opp Customs Port Br HQ,17663.57874955,17070.9340147,17515.25526733
0101000020E61000000C772E8CF4F55940514CDE00335FF43F,Opp Fuji Xerox Twrs,17480.17882347,16958.51956142,17412.5176471
0101000020E6100000C5E57805A2F55940367689EAAD81F43F,Opp Outram Pk Stn,16882.66670541,16080.76812028,16507.58908735
0101000020E6100000B954A52DAEF5594030F31DFCC481F43F,Outram Pk Stn,16843.02760233,16069.66011294,16500.20621225
0101000020E61000005F09A4C4AEF559402158552FBF93F43F,Opp Blk 13,16409.69009481,15586.56867498,16015.48393312
0101000020E6100000C3B7B06EBCF559400FD6FF39CC97F43F,Blk 8,16269.79636319,15468.22987981,15901.07331457
0101000020E6100000C5573B8A73F559406919A9F7548EF43F,EtonHouse Pre-Sch,16728.19830809,15779.109231,16189.91645057
0101000020E6100000FE7F9C3061F55940E6577380608EF43F,Blk 55,16787.16675368,15794.56948631,16199.55359941
0101000020E6100000C7D9740470F55940481971016894F43F,Aft Furama RiverFront,16595.98455372,15619.68555162,16028.53765128
0101000020E6100000857CD0B359F5594021037976F996F43F,Blk 2B,16609.51449571,15571.89515216,15973.19914675
0101000020E6100000EB8F300C58F5594049D6E1E82A9DF43F,Blk 94,16469.82762996,15408.06490948,15807.86622885
0101000020E61000003C9F01F566F55940603FC4060BA7F43F,Grand Copthorne Hotel,16188.24846723,15129.72262422,15532.88164803
0101000020E610000031B43A3943F5594060764F1E16AAF43F,The Boys' Brigade HQ,16240.40805167,15084.72399972,15475.47035733
0101000020E6100000CAC0012D5DF55940577A6D3656A2F43F,Holiday Inn Atrium,16331.49896023,15264.9489583,15665.61335824
0101000020E61000009886E12362F55940892991442FA3F43F,Opp Holiday Inn Atrium,16294.83189247,15237.46797961,15639.63391878
0101000020E61000006B63EC8497F55940587380608E9EF43F,Hotel Miramar,16226.66304333,15314.2244297,15734.47446146
0101000020E610000063EDEF6C8FF559406684B70721A0F43F,River View Hotel,16215.83059222,15278.65209178,15696.0780676
0101000020E610000044E048A0C1F55940FBCE2F4AD09FF43F,Blk 2,16061.71349853,15249.39187146,15683.11653519
0101000020E6100000FCFF3861C2F55940B492567C43A1F43F,River Pl Condo,16024.69401308,15209.93323437,15643.75983568
0101000020E6100000292504ABEAF559406534F279C593F43F,Opp Subordinate Ct,16224.49652815,15548.20043625,15995.97173088
0101000020E61000006FBA6587F8F55940865451BCCA9AF43F,Ctrl Sq,16012.87308527,15351.97563238,15803.63011878
0101000020E610000015747B4963F65940151BF33AE2D0F43F,Peace Ctr,14382.47212782,13855.32127905,14339.90032578
0101000020E61000004F3E3DB665F65940EECEDA6D17DAF43F,Selegie Ctr,14152.71327577,13606.36689371,14091.71504082
0101000020E61000002D0ABB287AF65940E7340BB43BE4F43F,Tekka Ctr,13845.71638417,13329.2258074,13821.68370879
0101000020E6100000F2B0506B9AF65940653733FAD1F0F43F,Broadway Hotel,13443.74724039,12986.88163164,13490.93465565
0101000020E6100000F06E6589CEF659404BAE62F19B02F53F,Sri Srinivasa Perumal Tp,12856.35908873,12510.37932651,13033.93290316
0101000020E6100000D732198EE7F659408192020B600AF53F,Sri Vadapathira K Tp,12593.49108676,12306.22868197,12839.42011906
0101000020E610000011C64FE3DEF659405359147651F4F43F,Bef Tai Hoe Hotel,13156.80548426,12899.19591964,13427.41665511
0101000020E610000056444DF4F9F65940670E492D940CF53F,Umar P Tamil Lang Ctr,12485.83091896,12252.30328732,12792.32459239
0101000020E610000059FD118601F7594024624A24D10BF53F,Opp Umar P Tamil Lang Ctr,12482.47129648,12275.4805637,12818.12168429
0101000020E61000002976340EF5F659403222516859F7F43F,Aft Allenby Rd,13019.57742384,12823.22593148,13359.36612045
0101000020E6100000FCC7427408F7594053793BC26901F53F,Hoa Nam Bldg,12717.72135946,12558.4928134,13102.39706312
0101000020E6100000450DA661F8F659403BDF4F8D97EEF43F,Aft King George's Ave,13225.95105759,13060.41120441,13596.85218945
0101000020E610000020EF552B13F7594037514B732B04F53F,Eminent Plaza,12619.91918469,12488.4963571,13036.4497493
0101000020E61000000CE8853B17F759406AA4A5F27604F53F,Opp Eminent Plaza,12601.33878591,12482.29381286,13031.69493494
0101000020E61000008065A54929F75940672B2FF99FFCF43F,Bef Kallang Bahru,12745.78181271,12701.84474572,13256.42903368
0101000020E61000007670B03731F759407F677BF486FBF43F,Aft Kallang Bahru,12751.87179288,12735.42670695,13292.53996595
0101000020E61000000DC4B29943F759401B9B1DA9BEF3F43F,Aft Kallang Rd,12897.99378915,12954.94714496,13517.07911777
0101000020E6100000207D93A641F75940A5A2B1F677F6F43F,Bef Kallang Rd,12834.92279662,12880.55582825,13442.43735624
0101000020E6100000E542E55FCBF65940D6E253008CE7F43F,Opp Veerasamy Rd,13525.35664772,13240.25451069,13760.86280925
0101000020E6100000A4FD0FB056F65940BEA25BAFE9C1F43F,SMU,14783.00066662,14262.06917609,14742.59175124
0101000020E6100000573F36C98FF659402FA699EE75D2F43F,Opp Burlington Sq,14212.46216473,13806.88472387,14306.47464657
0101000020E61000008A93FB1D8AF659401B9E5E29CBD0F43F,Fortune Ctr,14269.61927143,13852.26787379,14349.92734475
0101000020E6100000A2630795B8F65940A2D288997DDEF43F,Bef Sim Lim Twr,13800.84082439,13482.56621562,13996.29539999
0101000020E610000056D7A19A92F659403EE8D9ACFADCF43F,Aft Sim Lim Sq,13947.98525046,13522.78593457,14023.56897859
0101000020E610000032CA332F87F65940B1FB8EE1B1DFF43F,The Verge,13916.02001515,13450.26909188,13947.19046125
0101000020E6100000226FB9FAB1F6594032C9C859D8D3F43F,Fu Lu Shou Cplx,14080.68406719,13769.48456879,14280.51454645
0101000020E6100000037D224F92F659408D800A4790CAF43F,Opp Midlink Plaza,14398.23711649,14019.93193986,14520.18700934
0101000020E6100000EE4108C897F659405F0CE544BBCAF43F,Midlink Plaza,14378.51271006,14015.18096247,14517.24283737
0101000020E61000005114E81379F65940F60CE19865CFF43F,Opp Prime Ctr,14353.57037132,13891.7555552,14383.68721759
0101000020E6100000986E1283C0F659403337DF88EED9F43F,Opp Rochor Ctr,13890.23352033,13606.3650151,14122.51980669
0101000020E61000000725CCB4FDF55940A9F6E978CCC0F43F,Opp Haw Par Glass Twr,15083.74241013,14326.24677148,14777.02453181
0101000020E610000039622D3E05F65940102219726CBDF43F,Aft Haw Par Glass Twr,15140.48533464,14413.23728728,14866.78421391
0101000020E6100000C4EDD0B018F65940D311C0CDE2C5F43F,Dhoby Ghaut Stn,14876.83195463,14176.16899363,14635.77275078
0101000020E61000000DDE57E542F65940419B1C3EE9C4F43F,YMCA,14769.84231161,14186.60860276,14660.48051236
0101000020E6100000B2683A3B19F6594027DA5548F9C9F43F,Dhoby Ghaut Stn,14777.39260968,14065.81169687,14525.37570664
0101000020E6100000486E4DBA2DF65940850A0E2F88C8F43F,Macdonald Hse,14747.66020362,14096.2241523,14562.83869011
0101000020E6100000A704C4245CF6594068E89FE062C5F43F,Rendezvous Grand Hotel,14682.47056978,14167.08702955,14649.37440396
0101000020E6100000DFFB1BB457F65940E415889E94C9F43F,Sch of the Arts,14594.08044429,14054.95857145,14535.70863357
0101000020E610000035B39602D2F55940D4F36E2C28CCF43F,Winsland Hse,14957.5260089,14047.17853056,14481.94379204
0101000020E6100000DC2A8881AEF559400F61FC34EECDF43F,Somerset Stn,15036.45355747,14025.82759845,14447.91836425
0101000020E610000070B1A206D3F55940AB9509BFD4CFF43F,Orchard Plaza,14867.86873977,13947.80084626,14382.53991826
0101000020E6100000164F3DD2E0F5594013286211C3CEF43F,Concorde Hotel S'pore,14846.86390623,13967.44113666,14407.12714923
0101000020E6100000CC5F217365F55940A724EB7074D5F43F,Opp Ngee Ann City,15121.66303633,13892.02411415,14286.79692272
0101000020E61000005FD0420246F5594015FDA19927D7F43F,Opp Orchard Stn,15198.76476266,13881.36123488,14264.36490753
0101000020E6100000F9A23D5E48F5594093FE5E0A0FDAF43F,Orchard Stn,15124.40822384,13801.38102415,14184.6383448
0101000020E6100000EB54F99E91F55940BC5CC47762D6F43F,Opp Mandarin Orchard,14941.58977741,13824.0114841,14234.59875866
0101000020E610000038F8C264AAF559405567B5C01ED3F43F,Midpoint Orchard,14930.04953142,13890.05193274,14309.99946922
0101000020E610000078978BF84EF55940F1845E7F12DFF43F,Tang Plaza,14986.70371678,13660.40655458,14045.04567536
